Ermakova VD	16	W	18.12.1994	12.11.2010	21	0
Fedorova VE	21	W	22.11.1984	24.05.2005	13	1
Vorobiev KI	4	W	02.11.1948	25.11.1952	20	1
Makeeva EN	28	W	14.11.1953	22.11.1981	13	1
Polikarpov VF	18	M	26.06.1940	25.03.1958	11	0
Cousin KI	63	W	24.09.1938	20.04.2001	10	0
Ivanov AL	7	M	21.05.1962	05.01.1969	6	1
Matveev VM	7	M	14.10.1998	26.05.2005	38	1
Vorobyov TM	17	M	02.01.1960	30.01.1977	24	0
Odintsova MA	11	W	01.10.1988	03.02.2000	12	1
Maksimova AK	67	W	04.05.1950	09.04.2017	4	0
Gorbunova MV	29	W	31.03.1954	16.04.1983	24	0
Kasyanova VV	5	W	10.11.1979	21.12.1984	4	0
Popova AA	14	W	30.01.1974	15.08.1987	28	1
Aleksandrova AV	21	W	14.03.1942	24.01.1963	27	1
Lazareva UD	9	W	14.02.1936	04.06.1945	25	0
Loginova ME	25	W	26.12.1947	08.09.1972	16	1
Sakharova EA	5	W	08.01.1985	19.03.1990	2	1
Filippova KE	2	W	22.06.1985	21.02.1987	8	1
Novikova VE	26	W	21.10.1950	03.02.1977	2	1
Ushakov LT	12	M	17.01.1946	31.08.1957	36	1
Melnikov MA	18	M	28.06.1947	27.07.1965	21	1
Shishkin SE	9	M	11.01.1984	17.09.1992	17	0
Rogova CR	3	W	20.06.1977	18.01.1980	0	0
Vinogradova DF	30	W	11.08.1942	17.07.1972	37	1
Blinova MS	11	W	25.01.1993	01.07.2004	0	1
Chernova AE	25	W	31.07.1980	12.02.2005	28	0
Semenov AA	53	M	24.06.1959	27.06.2012	7	1
Mironov DV	13	M	25.08.1942	24.01.1956	25	0
Maslova VA	35	W	29.03.1938	26.09.1972	14	0
